Numero_GS,Numero_Lote_Entrada,Numero_Lote_Desposte,Fecha_Sacrificio,Fecha_Salida_Productos,Tipo_Producto,Establecimiento_Final
0697221,218126,218126,11/07/2015 10:56:48,17/07/2015 00:00:00,Canal,PETROCASINOS S.A.
0697220,218127,218127,11/07/2015 10:56:48,17/07/2015 00:00:00,Canal,PETROCASINOS S.A.
0124079,218171,218171,14/07/2015 14:37:45,17/07/2015 00:00:00,Canal,CARNES Y CARNES SANTACRUZ SAS
0140208,218185,218185,14/07/2015 12:28:16,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140211,218187,218187,14/07/2015 12:28:16,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140207,218188,218188,14/07/2015 12:28:16,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140200,218189,218189,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0140199,218192,218192,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0103579,218195,218195,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0103581,218196,218196,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0103578,218197,218197,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0103580,218198,218198,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0140201,218199,218199,15/07/2015 09:14:52,17/07/2015 00:00:00,Canal,AGROPECUARIA EL BUFALO S.A
0103589,218200,218200,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0140209,218207,218207,15/07/2015 10:45:07,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140205,218210,218210,15/07/2015 10:45:07,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140213,218211,218211,15/07/2015 10:45:07,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140206,218212,218212,15/07/2015 10:45:07,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140212,218214,218214,15/07/2015 10:45:07,17/07/2015 00:00:00,Canal,COMERCIALIZADORA MUNDIORIENTE S.A.S.
0140291,218229,218229,15/07/2015 14:41:18,17/07/2015 00:00:00,Canal,PETROCASINOS S.A.
0105686,218233,218233,15/07/2015 15:39:26,17/07/2015 00:00:00,Canal,CENTRO DE DESPOSTE Y COMERCIALIZACION DE PRODUCTOS CARNICOS Y DERIVADOS LTDA
0140184,218277,218277,17/07/2015 15:24:34,17/07/2015 00:00:00,Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0140184,218277,218277,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0697267,218286,218286,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0140183,218293,218293,17/07/2015 15:24:34,17/07/2015 00:00:00,Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0140183,218293,218293,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0105689,218295,218295,17/07/2015 15:24:34,17/07/2015 00:00:00,Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0105689,218295,218295,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0103590,218311,218311,17/07/2015 15:24:34,17/07/2015 00:00:00,Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
0103590,218311,218311,17/07/2015 15:24:34,17/07/2015 00:00:00,Media Canal,CENTRAL MAYORISTA KIKES CARNES CENTROABASTOS
